event_cd,event_type,event_desc,event_ct
IRFI,M,IRREGULARITY ON FINAL DECISION RECEIVED FROM IB,929
IRGP,M,IRREGULARITY ON GRANT OF PROTECTION RECEIVED FROM IB,39
IRIV,M,IRREGULARITY ON INVALIDATION RECEIVED FROM IB,119
IROA,I,RESPONSE TO ITU OFFICE ACTION ENTERED,6852
IROP,M,IRREGULARITY ON NOTICE OF POSSIBLE OPPOSITION RECEIVED FROM IB,168
IRRE,X,IRREGULARITY ON REFUSAL REQUIRES EXAMINER REVIEW,40
IRRF,M,IRREGULARITY ON REFUSAL FROM IB,1555
IRRG,M,IRREGULARITY RECEIVED FROM IB,1
IRRH,M,IRREGULARITY FROM IB EXAMINED BY MPU,843
IRSS,P,IRREGULARITY RESPONSE SENT TO IB,1
ISCO,Z,WITHDRAWN FROM ISSUE - COMM.OFFICE REQUEST,126
ISCR,Z,WITHDRAWN FROM ISSUE - OG REVIEW QUERY,211
ISER,Z,WITHDRAWN FROM ISSUE - EXAMINING ATTORNEY REQUEST,845
ISIC,Z,WITHDRAWN FROM ISSUE - INCOMING CORR RECEIVED,343
ISIR,Z,WITHDRAWN FROM ISSUE - TQR/NON-ATTY REQUEST,2339
ISIU,Z,WITHDRAWN FROM ISSUE(NOA)-ITU REQUEST,165
ISMR,Z,WITHDRAWN FROM ISSUE - MANAGING ATTORNEY REQUEST,713
ISPO,Z,WITHDRAWN FROM ISSUE - PETITIONS OFFICE REQUEST,1574
ISPR,Z,WITHDRAWN FROM ISSUE - PROOFER'S REQUEST,139
ISSR,Z,WITHDRAWN FROM ISSUE - SENIOR ATTORNEY REQUEST,1045
ISTB,I,WITHDRAWN FROM ISSUE-TTAB REQUEST,11
ISTB,Z,WITHDRAWN FROM ISSUE-TTAB REQUEST,413
ISTQ,Z,ISTQ-Withdrawn from Issue OTQR Request,30
ISUR,Z,WITHDRAWN FROM ISSUE - MPU REQUEST,5
IUAA,P,USE AMENDMENT ACCEPTED,146868
IUAF,P,USE AMENDMENT FILED,139
IUAF,S,USE AMENDMENT FILED,1431062
IUAL,I,UNTIMELY AMENDMENT TO ALLEGE USE PROCESSED,330
IUCN,S,NOTICE OF ALLOWANCE CANCELLED,77871
IUFF,S,USE AFFIDAVIT FAILED FORMALITIES,5846
IULN,O,"ITU LETTER MAILED, NO RESPONSE REQUIRED",1058
IUPC,S,ITU PROCESS COMPLETED TO LAW OFFICE,2
IURF,S,IU INFORMAL RESPONSE RECEIVED,3336
IUSF,P,USE STATEMENT FILED,16
JURT,T,JURISDICTION RESTORED TO EXAMINING ATTORNEY,67690
LEXT,S,LATE FILED EXTENSION REQUEST,5203
LIEC,X,LEGAL INSTRUMENT EXAMINER (LIE) - CORRECTION,2127
LIEN,I,APPLICANT AMENDMENT REQUIRES LAW OFFICE ENTRY,30
LIME,I,LIMITATION FROM THE IB EXAMINED AND ENTERED,3168
LIME,X,LIMITATION FROM THE IB - REQUEST EXAM REVIEW,589
LIMG,M,LIMITATION OF GOODS RECEIVED FROM IB,11542
LIMI,I,LIMITATION FROM ORIGINAL APPLICATION ENTERED,21781
LIMN,I,"LIMITATION FROM THE IB EXAMINED, NO ACTION IS NEEDED",5321
LIMS,I,LIMITATION OF GOODS/SERVICES FROM IB ENTERED,12563
LNAS,P,DECLARATION THAT A LIMITATION HAS NO EFFECT SENT TO IB,2
LNNX,P,LIMITATION HAS NO EFFECT PROCESSED BY IB,27
LOAP,I,LETTER OF ABANDONMENT PROCESSED,4255
LOPR,P,LETTER OF PROTEST EVIDENCE REVIEWED,2561
LOPT,I,LETTER OF PROTEST ACCEPTED,11303
LSOU,S,LATE FILED STATEMENT OF USE,3087
MAB0,E,ABANDONMENT NOTICE E-MAILED - INCOMPLETE RESPONSE,1
MAB0,O,ABANDONMENT NOTICE MAILED - INCOMPLETE RESPONSE,8592
MAB1,E,ABANDONMENT NOTICE E-MAILED - EXPRESS ABANDONMENT,1
MAB1,O,ABANDONMENT NOTICE MAILED - EXPRESS ABANDONMENT,49119
MAB2,E,ABANDONMENT NOTICE E-MAILED - FAILURE TO RESPOND,1
MAB2,O,ABANDONMENT NOTICE MAILED - FAILURE TO RESPOND,834014
MAB3,E,ABANDONMENT NOTICE MAILED - AFTER EX PARTE APPEAL,2
MAB3,O,ABANDONMENT NOTICE MAILED - AFTER EX PARTE APPEAL,10449
MAB4,O,ABANDONMENT NOTICE MAILED - INTER PARTES DECISION,39816
MAB5,O,ABANDONMENT NOTICE MAILED - AFTER PUBLICATION,21816
MAB6,E,ABANDONMENT NOTICE E-MAILED - NO USE STATEMENT FILED,1
MAB6,O,ABANDONMENT NOTICE MAILED - NO USE STATEMENT FILED,774315
MAB7,O,ABANDONMENT NOTICE MAILED - DEFECTIVE USE STATEMENT,2171
MAB8,O,ABANDONMENT NOTICE MAILED - AFTER PETITION DECISION (IU CASE),1
MAFR,O,APPLICATION FILING RECEIPT MAILED,212391
MAIL,I,PAPER RECEIVED,1557273
MAIL,T,PAPER RECEIVED AT TTAB,5
MDSC,E,NOTICE OF DESIGN SEARCH CODE E-MAILED,226679
MDSC,O,NOTICE OF DESIGN SEARCH CODE MAILED,340437
MDSM,E,NOTICE OF DESIGN SEARCH CODE AND PSEUDO MARK E-MAILED,77393
MDSM,O,NOTICE OF DESIGN SEARCH CODE AND PSEUDO MARK MAILED,128308
MNDA,O,NOTICE OF DIVIDED TRADEMARK APPLICATION MAILED,1791
MPMK,E,NOTICE OF PSEUDO MARK E-MAILED,280185
MPMK,O,NOTICE OF PSEUDO MARK MAILED,452145
MREI,O,NOTICE OF REINSTATEMENT MAILED,4535
MSNI,O,MISPLACED SN INQUIRY,677
NA15,E,SEC. 15 ACKNOWLEDGEMENT - E-MAILED,5666
NA15,O,SEC. 15 ACKNOWLEDGEMENT - MAILED,775
NA71,E,NOTICE OF ACCEPTANCE OF SEC. 71 - E-MAILED,9713
NA71,O,NOTICE OF ACCEPTANCE OF SEC. 71 - MAILED,2059
NA75,E,NOTICE OF ACCEPTANCE OF SEC. 71 & 15 - E-MAILED,11046
NA75,O,NOTICE OF ACCEPTANCE OF SEC. 71 & 15 - MAILED,2447
NA85,E,NOTICE OF ACCEPTANCE OF SEC. 8 & 15 - E-MAILED,316251
NA85,O,NOTICE OF ACCEPTANCE OF SEC. 8 & 15 - MAILED,37052
NA89,E,NOTICE OF ACCEPTANCE OF SEC. 8 & 9 - E-MAILED,284429
NA89,O,NOTICE OF ACCEPTANCE OF SEC. 8 & 9 - MAILED,30958
NAS8,E,NOTICE OF ACCEPTANCE OF SEC. 8 - E-MAILED,75719
NAS8,O,NOTICE OF ACCEPTANCE OF SEC. 8 - MAILED,9978
NAUD,F,NOTICE OF UNRESPONSIVE AMENDMENT,14
NAUD,O,NOTICE OF UNRESPONSIVE AMENDMENT - MAILED,6651
NAUD,R,REPORT UNRESPONSIVE AMENDMENT - COMPLETED,13622
NAUD,S,NOTICE OF UNRESPONSIVE AMENDMENT - MAILED,36
NAUD,W,SU - NOTICE OF UNRESPONSIVE AMENDMENT - WRITTEN,941
NEWN,I,NEW NOA TO ISSUE,14155
NEWR,I,1(B) BASIS DELETED; NEW BASIS APPROVED,192
NOAC,E,CORRECTED NOA E-MAILED,14802
NOAC,O,CORRECTED NOA MAILED,1833
NOAD,O,DUPLICATE NOA MAILED,3
NOAM,E,NOA E-MAILED - SOU REQUIRED FROM APPLICANT,861459
NOAM,O,NOA MAILED - SOU REQUIRED FROM APPLICANT,1744131
NONP,E,NOTIFICATION OF NOTICE OF PUBLICATION E-MAILED,1358381
NOPM,M,NOTICE OF POSSIBLE OPPOSITION SENT MANUALLY TO IB,14
NOSU,I,NOTICE OF SUIT,121668
NPUB,*,NOTICE OF PUBLICATION,82
NPUB,E,OFFICIAL GAZETTE PUBLICATION CONFIRMATION E-MAILED,1748773
NPUB,F,NOTICE OF PUBLICATION,7503
NPUB,O,NOTICE OF PUBLICATION,3687293
NREP,P,NEW REPRESENTATIVE AT IB RECEIVED,76187
NREV,E,NOTICE OF REVIVAL - E-MAILED,89381
NREV,O,NOTICE OF REVIVAL - MAILED,8501
NWAP,I,NEW APPLICATION ENTERED IN TRAM,3828945
NWOS,I,NEW APPLICATION OFFICE SUPPLIED DATA ENTERED IN TRAM,2660265
OHER,I,ON HOLD - EXAMINER ATTORNEY REQUEST,1
OHMR,I,ON HOLD - MANAGING ATTORNEY REQUEST,1
OHPO,I,ON HOLD - PETITION OFFICE REQUEST,4
OHSR,I,ON HOLD - SENIOR ATTORNEY REQUEST,2
OP.D,S,OPPOSITION DISMISSED IN PART/SUSTAINED IN PART NO. 999999,4
OP.D,T,OPPOSITION DISMISSED NO. 999999,78278
OP.I,T,OPPOSITION INSTITUTED NO. 999999,147676
OP.N,T,OPPOSITION NOT INSTITUTED,36
OP.S,T,OPPOSITION SUSTAINED NO. 999999,61363
OP.T,T,OPPOSITION TERMINATED NO. 999999,144702
OP2R,P,"NOTICE OF START OF OPPOSITION PERIOD CREATED, TO BE SENT TO IB",70785
OPNC,E,OPPOSITION NOTICE (IB REFUSAL) CREATED,3060
OPNR,P,"NOTIFICATION OF POSSIBLE OPPOSITION CREATED, TO BE SENT TO IB",50060
OPNS,B,OPPOSITION NOTICE (IB REFUSAL) SENT TO IB,3038
OPNS,P,NOTIFICATION OF POSSIBLE OPPOSITION SENT TO IB,120744
OPNX,P,NOTIFICATION OF POSSIBLE OPPOSITION - PROCESSED BY IB,57365
OPPF,T,OPPOSITION PAPERS RECEIVED AT TTAB,22394
OQ89,O,POST REGISTRATION ACTION E-MAILED - SEC.8 & 9,10
ORDR,I,COURT ORDER RECEIVED,24
OROR,O,COURT ORDER AMENDMENT OR RESTRICTION,72
OTHE,I,CASE RETURNED TO EXAMINATION,2702
P12C,O,PUBLISHED SECTION 12(C),1323
PAIS,O,PETITION TO DIRECTOR - INT. APP. - DISMISSED,1
PARI,I,TEAS VOLUNTARY AMENDMENT RECEIVED,147890
PBCO,Z,WITHDRAWN FROM PUB - COMM.OFFICE REQUEST,32
PBCR,Z,WITHDRAWN FROM PUB - OG REVIEW QUERY,105984
PBER,Z,WITHDRAWN FROM PUB - EXAMINING ATTORNEY REQUEST,2378
PBIC,Z,WITHDRAWN FROM PUB - INCOMING CORR RECEIVED,282
PBIR,Z,WITHDRAWN FROM PUB - TQR/NON-ATTY REQUEST,5714
PBIU,Z,WITHDRAWN FROM PUB-ITU REQUEST,52
PBMR,Z,WITHDRAWN FROM PUB - MANAGING ATTORNEY REQUEST,1820
PBPO,Z,WITHDRAWN FROM PUB - PETITIONS OFFICE REQUEST,210
PBPR,Z,WITHDRAWN FROM PUB - ESU SUPERVISOR REQUEST,1918
PBSR,Z,WITHDRAWN FROM PUB - SENIOR ATTORNEY REQUEST,3514
PBTB,Z,WITHDRAWN FROM PUB-TTAB REQUEST,3
PBTQ,Z,WITHDRAWN FROM PUB OTQR REQUEST,5206
PBUR,Z,WITHDRAWN FROM PUB - MPU REQUEST,15
PC.D,I,PETITION TO DIRECTOR - DISMISSED,1704
PC.D,T,PETITION TO DIRECTOR DISMISSED,694
PCBD,O,PETITION TO DIRECTOR - CHANGE BASIS - DENIED,37
PCBD,P,PETITION TO DIRECTOR - CHANGE BASIS - DENIED,1
PCBG,O,PETITION TO DIRECTOR - CHANGE BASIS - GRANTED,6081
PCBM,I,PETITION TO DIRECTOR - WITHDRAWN,248
PCDE,O,PETITION TO DIRECTOR DENIED,2774
PCGR,O,PETITION TO DIRECTOR - GRANTED,8710
PCNX,P,PARTIAL CANCELLATION PROCESSED BY IB,1
PCOI,I,PARTIAL CANCELLATION FROM ORIGINAL APPLICATION ENTERED,61
PCPN,X,PARTIAL CHANGE OF OWNERSHIP PROCESSED BY IB,3
PCRC,I,PETITION TO DIRECTOR RECEIVED,9801
PDCB,I,PETITION TO DIRECTOR - CHANGE BASIS - RECEIVED,2793
PDMS,I,PETITION TO DIRECTOR - MAKE SPECIAL - RECEIVED,408
PDTG,O,PETITION TO DIRECTOR GRANTED TTAB MATTER,1
PDTR,I,PETITION TO DIRECTOR RECEIVED TTAB MATTER,3
PDWF,I,PETITION TO DIRECTOR - WAIVE FEES - RECEIVED,157
PETC,T,CANCELLATION INSTITUTED NO. 999999,47349
PETD,O,PETITION TO REVIVE-DENIED,16806
PETG,O,PETITION TO REVIVE-GRANTED,257292
PETI,T,PETITION TO DIRECTOR - CHANGE BASIS - RECEIVED,37
PETL,I,COMMUNICATION RECEIVED FROM PETITIONER,11790
PETR,I,PETITION TO REVIVE-RECEIVED,90581
PG1B,O,PETITION GRANTED - REQUEST TO DELETE 1(B) FILED,189
PGDV,O,PETITION GRANTED - REQUEST TO DIVIDE FILED,78
PGEX,O,PETITION GRANTED - EXTENSION REQUEST FILED,4226
PGOA,O,PETITION GRANTED - REMAIL OFFICE ACTION,3086
PGRN,O,PETITION GRANTED - ISSUE NEW NOA,760
PGRR,O,PETITION GRANTED - RESPONSE RECEIVED,8836
PGSU,O,PETITION GRANTED - SOU FILED,1191
PGTT,O,PETITION GRANTED - TTAB APPEAL FILED,532
PILM,I,PETITION INQUIRY LETTER MAILED,4026
PINM,I,INCOMPLETE PETITION NOTICE MAILED,339
PINM,O,INCOMPLETE PETITION NOTICE MAILED,25630
PINT,O,REPRINTING REGISTRATION CERTIFICATE,2857
PIRC,I,PUBLICATION & ISSUE REVIEW COMPLETE,14
PLGL,A,ASSIGNED TO PARALEGAL,424640
PMSD,O,PETITION TO DIRECTOR - MAKE SPECIAL - DENIED,141
PMSG,O,PETITION TO DIRECTOR - MAKE SPECIAL - GRANTED,1080
PMSM,',PETITION TO DIRECTOR - DISMISSED,19
PMSM,I,PETITION TO DIRECTOR - DISMISSED,25
PPAC,*,PETITION PENDING - AMENDMENT COMMENT PERIOD,14
PPAR,I,POST PUBLICATION AMENDMENT RECEIVED,751
PPCD,O,PENDING PETITION/COURT DECISION,6
PR.D,T,PETITION TO REVIVE DISMISSED,1619
PR.W,T,PETITION TO REVIVE WITHDRAWN,824
PR12,I,RESPONSE RECEIVED TO POST REG. ACTION - SEC. 12C,3
PR12,O,POST REGISTRATION ACTION MAILED - SEC. 12(C),44
PR15,I,RESPONSE RECEIVED TO POST REG. ACTION - SEC. 15,80
PR15,O,POST REGISTRATION ACTION MAILED - SEC. 15,2334
PR23,I,RESPONSE RECEIVED TO POST REG. ACTION - SEC. 8 & 15,15438
PR23,O,POST REGISTRATION ACTION MAILED - SEC. 8 & 15,92917
PR71,I,RESPONSE RECEIVED TO POST REG. ACTION - SEC. 71,1
PR71,O,POST REGISTRATION ACTION MAILED - SEC.71,1631
PR75,I,RESPONSE RECEIVED TO POST REG. ACTION - SEC. 71 & 15,1
PR75,O,POST REGISTRATION ACTION MAILED - SEC. 71 & 15,1143
PR89,I,RESPONSE RECEIVED TO POST REG. ACTION - SEC. 8 & 9,15075
PR89,O,POST REGISTRATION ACTION MAILED - SEC. 8 & 9,52224
PRA7,O,REGISTERED - SEC. 7 REQUEST ABANDONED,7813
PRA8,I,RESPONSE RECEIVED TO POST REG. ACTION - SEC. 8,5269
PRA8,O,POST REGISTRATION ACTION MAILED - SEC. 8,38208
PRA9,I,RESPONSE RECEIVED TO POST REG. ACTION - SEC. 9,685
PRA9,O,POST REGISTRATION ACTION MAILED - SEC. 9,22264
PRAM,O,POST REGISTRATION ACTION MAILED - SEC. 7,30884
PRAN,O,POST REGISTRATION ACTION MAILED NO RESPONSE REQUIRED,8019
PREV,O,LAW OFFICE PUBLICATION REVIEW COMPLETED,2638504
PRIC,I,30 DAY NOTICE OF INCOMPLETE RESPONSE,9
PRIC,O,30 DAY NOTICE OF INCOMPLETE RESPONSE,6
PRIM,I,PETITION TO REVIVE INQUIRY MAILED,19
PRIM,O,PETITION INQUIRY LETTER MAILED,721
PRMP,I,POST REG MISC. PAPER,16
PROA,I,TEAS PETITION TO REVIVE RECEIVED,212382
PRPC,O,POST REGISTRATION FILE PROCESSING COMPLETE,19
PRRD,O,PETITION RECONSIDERATION REQUEST DENIED,200
PRRG,O,PETITION RECONSIDERATION REQUEST GRANTED,176
PRRR,I,PETITION RECONSIDERATION REQUEST RECEIVED,502
PUBO,A,PUBLISHED FOR OPPOSITION,5399155
PUBW,Z,2ND PUBLICATION WITHDRAWN,38
PWFD,O,PETITION TO DIRECTOR - WAIVE FEE - DENIED,2
PWFG,O,PETITION TO DIRECTOR - WAIVE FEES - GRANTED,180
PWFM,I,PETITION TO DIRECTOR - DISMISSED,39
QR15,O,POST REGISTRATION ACTION E-MAILED - SEC.15,1
QR23,O,POST REGISTRATION ACTION E-MAILED - SEC.8 & 15,4
QR71,O,POST REGISTRATION ACTION E-MAILED - SEC.71,1
QRA8,O,POST REGISTRATION ACTION E-MAILED - SEC.8,5
QRAM,O,POST REGISTRATION ACTION E-MAILED - SEC.7,3
R.PR,A,REGISTERED-PRINCIPAL REGISTER,3852684
R.SR,A,REGISTERED-SUPPLEMENTAL REGISTER,174628
RBFT,I,REPLY BRIEF FILED - CHECK TTAB FILES,1
RBFT,T,REPLY BRIEF FILED - CHECK TTAB FILES,1656
RCCK,S,LIE CHECKED SUSP - TO ATTY FOR ACTION,147155
RCFR,I,REQUEST TO CORRECT FILING DATE RECEIVED,226
RCII,I,REQUEST TO CANCEL INADVERTENTLY ISSUED REGISTRATION RECEIVED,1196
RCSC,S,REPORT COMPLETED SUSPENSION CHECK CASE STILL SUSPENDED,342667
RDEN,S,NOTE OF REPLACEMENT DENIED,75
RDX1,O,ACTION FOR REQ FOR RECON DENIED NO APPEAL FILED E-MAILED,6950
RDX2,O,ACTION FOR REQ FOR RECON DENIED NO APPEAL FILED MAILED,825
RDX3,O,NOTIFICATION FOR REQ FOR RECON DENIED NO APPEAL FILED,6950
REAP,I,TEAS REVOKE/APPOINT ATTORNEY RECEIVED,1107936
RECD,O,ACTION DENYING REQ FOR RECON MAILED,6086
RECG,O,ACTION GRANTING REQ. FOR RECON. MAILED,578
RECG,S,ACTION GRANTING REQ FOR RECON MAILED,1
REGV,O,LAW OFFICE REGISTRATION REVIEW COMPLETED,603926
REIN,I,REINSTATED,4962
REIN,O,REINSTATED,40148
REM1,E,COURTESY REMINDER - SEC. 8 (6-YR) E-MAILED,170401
REM2,E,COURTESY REMINDER - SEC. 8 (10-YR)/SEC. 9 E-MAILED,182896
REM3,E,COURTESY REMINDER - SEC. 71 (6-YR) E-MAILED,5677
REM4,E,COURTESY REMINDER - SEC. 71 (10-YR) E-MAILED,5927
REN1,R,REGISTERED AND RENEWED (FIRST RENEWAL - 20 YRS),113503
REN2,R,REGISTERED AND RENEWED (SECOND RENEWAL - 20 YRS),22811
REN3,R,REGISTERED AND RENEWED (THIRD RENEWAL - 20 YRS),8888
REN4,R,REGISTERED AND RENEWED (FOURTH RENEWAL - 20 YRS),984
REN5,R,REGISTERED AND RENEWED (FIFTH RENEWAL - 20 YRS),2
REPR,M,SN ASSIGNED FOR SECT 66A APPL FROM IB,182729
RETP,R,ADDITIONAL REVIEW COMPLETED - SENT TO PROOFING,3
RFCR,E,NON-FINAL ACTION (IB REFUSAL) PREPARED FOR REVIEW,191539
RFCS,P,NON-FINAL ACTION MAILED - REFUSAL SENT TO IB,182041
RFIL,I,REQUEST FOR REPLACEMENT FILED,6
RFIL,S,REQUEST FOR REPLACEMENT RECEIVED,65
RFNP,P,REFUSAL PROCESSED BY IB,18759
RFNT,P,REFUSAL PROCESSED BY IB,175031
RFRC,I,REQUEST FOR RECONSIDERATION RECEIVED,15
RFRR,I,REQUEST FOR REINSTATEMENT RECEIVED,366
RFRR,P,REFUSAL PROCESSED BY MPU,173828
RFSH,I,REQUEST FOR SPECIAL HANDLING RECEIVED,433
RFTP,Z,REMOVED FROM TEAS PLUS,32566
RFWR,P,NON-FINAL ACTION (IB REFUSAL) WITHDRAWN FOR REVIEW,8981
RG1B,O,REINSTATEMENT GRANTED - REQUEST TO DELETE 1(B) FILED,136
RGDV,O,REINSTATEMENT GRANTED - REQUEST TO DIVIDE FILED,21
RGEX,O,REINSTATEMENT GRANTED - EXTENSION REQUEST FILED,386
RGIA,O,REINSTATEMENT GRANTED - INADVERTENTLY ABANDONED,2142
RGLA,O,REINSTATEMENT GRANTED - INADVERTENTLY ABANDONED,9
RGOA,O,REINSTATEMENT GRANTED - REMAIL OFFICE ACTION,325
RGRN,O,REINSTATEMENT GRANTED - REISSUE NOA,65
RGRR,O,REINSTATEMENT GRANTED - RESPONSE RECEIVED,1440
RGSU,O,REINSTATEMENT GRANTED - SOU FILED,361
RGTD,O,REINSTATEMENT GRANTED - TTAB DECISION REVERSED,166
RGTR,O,REINSTATEMENT GRANTED - TTAB REQUEST,150
RGTT,O,REINSTATEMENT GRANTED - TTAB APPEAL FILED,86
RHRD,I,RESTRICTION OF HOLDER'S RIGHT OF DISPOSAL RECEIVED,1142
RINX,P,USPTO CORRECTION PROCESSED BY IB,996
RMDT,O,EXAMINERS REQUEST FOR REMAND TO TTAB,222
RMRF,Z,REMOVE FROM TEASRF,121
RNL1,Q,REGISTERED AND RENEWED (FIRST RENEWAL - 10 YRS),623899
RNL2,Q,REGISTERED AND RENEWED (SECOND RENEWAL - 10 YRS),162928
RNL3,Q,REGISTERED AND RENEWED (THIRD RENEWAL - 10 YRS),31256
RNL4,Q,REGISTERED AND RENEWED (FOURTH RENEWAL - 10 YRS),8412
RNL5,Q,REGISTERED AND RENEWED (FIFTH RENEWAL - 10 YRS),2269
RNL6,Q,REGISTERED AND RENEWED (SIXTH RENEWAL - 10 YRS),427
RNL7,Q,REGISTERED AND RENEWED (SEVENTH RENEWAL - 10 YRS),3
RNWL,P,INTERNATIONAL REGISTRATION RENEWED,14816
RPRC,S,NOTE OF REPLACEMENT PROCESSED,90
RPRI,B,REPLACEMENT PROCESSED BY IB,9
RPUB,I,NOA CANCELLED; REPUBLICATION REQUIRED,772
RRDX,O,REQUEST FOR RECONSIDERATION DENIED - ADDITIONAL TIME,2
RRDX,W,ACTION REQ FOR RECON DENIED NO APPEAL FILED COUNTED NOT MAILED,7701
RRGD,O,REQUEST FOR REINSTATEMENT DENIED,39
RRGG,O,REQUEST FOR REINSTATEMENT - GRANTED,36
RRGM,I,REQUEST FOR REINSTATEMENT - DISMISSED,8
RRPR,I,RESPONSE RECEIVED TO POST REG. ACTION,59507
RSHD,O,REQUEST FOR SPECIAL HANDLING DENIED,385
RSHG,O,REQUEST FOR SPECIAL HANDLING - GRANTED,1557
RSHM,I,REQUEST FOR SPECIAL HANDLING - DISMISSED,2
RTDR,I,REQUEST TO DIVIDE RECEIVED,6
RTRF,P,RESTORE TO TEASRF,8
RTTP,P,RESTORE TO TEAS PLUS,2718
S85A,I,REGISTERED-SUBSEQUENT SEC. 8 (6 YR) ACCEPTED/SEC. 15 ACKNOWLEDGED,9
S86A,I,REGISTERED-SUBSEQUENT SEC. 8 (6 YR) ACCEPTED,3
S89G,O,REGISTERED-SUBSEQUENT SEC. 8 (10 YR) ACCEPTED/SEC. 9 GRANTED,17
SDRC,M,SN ASSIGNED FOR SECT 66A SUBSEQ DESIG FROM IB,18633
SEAP,F,SU - EXAMINER'S AMENDMENT/PRIORITY ACTION MAILED,4
SEAP,O,SU - EXAMINER'S AMENDMENT/PRIORITY ACTION MAILED,39
SEAP,W,SU - EXAMINER'S AMENDMENT/PRIORITY ACTION WRITTEN,3
SNEA,F,SU-EXAMINER'S AMENDMENT MAILED,3
SNEA,O,SU-EXAMINER'S AMENDMENT MAILED,65
SNEA,W,SU-EXAMINER'S AMENDMENT WRITTEN,20338
SPEA,F,SU - EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION MAILED,3
SPEA,O,SU - EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION MAILED,13
SPEA,W,SU - EXAMINER'S AMENDMENT AND/OR PRIORITY ACTION - WRITTEN,348
SPRA,F,SU - PRIORITY ACTION MAILED,23
SPRA,O,SU - PRIORITY ACTION MAILED,185
SPRA,W,SU - PRIORITY ACTION WRITTEN,1569
SRRC,I,STATEMENT OF USE REVIEW COMPLETE,1
SSFR,O,SU - SUBSEQUENT FINAL MAILED,73
SSFR,W,SOU - SUBSEQUENT FINAL REFUSAL WRITTEN,281
SSRR,O,SU - SUBSEQUENT FINAL MAILED,1
STAL,O,REQUEST FOR STATUS PROCESSED,33
SUNA,E,NOTICE OF ACCEPTANCE OF STATEMENT OF USE E-MAILED,446287
SUNA,O,NOTICE OF ACCEPTANCE OF STATEMENT OF USE MAILED,50717
SUPC,I,STATEMENT OF USE PROCESSING COMPLETE,1273074
TAEA,I,TEAS AMENDMENT ENTERED BEFORE ATTORNEY ASSIGNED,35798
TBAB,I,TEAS PETITION TO AMEND BASIS RECEIVED,3
TCAL,I,TEAS CORR ADDRESS REQUEST RECEIVED BUT NOT PROCESSED LOC IS TTAB,580
TCAS,I,TEAS CORR ADDRESS REQUEST RECEIVED BUT NOT PROCESSED STAT IS TTAB,529
TCCA,I,TEAS CHANGE OF CORRESPONDENCE RECEIVED,1823045
TEME,I,TEAS/EMAIL CORRESPONDENCE ENTERED,2162047
TMBN,T,TTAB RELEASE CASE TO TRADEMARKS,32337
TPAD,I,TEAS PETITION TO AMEND BASIS RECEIVED,4831
TPDD,I,TEAS DUE DILIGENCE PETITION RECEIVED,943
TPDR,I,TEAS PETITION TO DIRECTOR RECEIVED,4892
TPET,I,TEAS PETITION TO REVIVE RECEIVED,100
TPEX,I,EXTENSION RECEIVED WITH TEAS PETITION,119354
TPMS,I,TEAS PETITION TO DIRECTOR-MAKE SPECIAL-RECEIVED,1065
TPOA,I,TEAS PETITION TO REVIVE FOR LATE ROA RECEIVED,6
TPSE,I,TEAS PETITION TO REVIVE FOR LATE EXT/SOA RECEIVED,6
TRDE,S,REQUEST FOR TRANSFORMATION DENIED,21
TRFL,S,REQUEST FOR TRANSFORMATION FILED,2
TRMS,I,TEAS REQUEST TO MAKE SPECIAL RECEIVED,1531
TROA,I,TEAS RESPONSE TO OFFICE ACTION RECEIVED,2056404
TRPP,S,REQUEST FOR TRANSFORMATION PROCESSED - PARTIAL,12
TRPT,S,REQUEST FOR TRANSFORMATION PROCESSED - TOTAL,49
TSEC,U,TRADEUPS SECURITY ACCESS UPDATE PERFORMED,1
TTBN,I,CASE ASSIGNED TO TTAB,449
TTBO,I,TTAB ORDER ISSUED,1
TTCD,D,BOARD DECISION COUNTERCLAIM DENIED,27
TTCG,R,BOARD DECISION COUNTERCLAIM GRANTED REGISTRATION CANCELLED,3
TTPR,P,BOARD DECISION SET ASIDE; PROCEEDING REINSTATED,39
UNDC,O,UNDELIVERABLE MAIL - COURTESY COPY MAILED,17745
UNDN,O,UNDELIVERABLE MAIL - NO ACTION TAKEN,77628
UNDR,O,UNDELIVERABLE MAIL - CORRESP. REMAILED,7096
UNPR,I,UNRESPONSIVE/DUPLICATE PAPER RECEIVED,67849
UNTD,O,"REQUEST TO DIVIDE UNTIMELY, REFUSED, OR WITHDRAWN",1750
WDLA,P,WITHDRAWAL OF ATTORNEY APPROVED,107
WDLD,P,WITHDRAWAL OF ATTORNEY DENIED,80
WDLL,P,RESPONSE TO WITHDRAWAL OF ATTORNEY PROCESSED,123
WDRL,S,OTQR WITHDRAWAL FROM PUBLICATION,1555
WOAG,I,WITHDRAWAL OF ATTORNEY GRANTED,66778
WOAM,I,REVOCATION/WITHDRAWAL OF ATTORNEY RECEIVED,15
WOAP,O,WITHDRAWAL OF ATTORNEY LETTER PROCESSED,23
WOAR,I,TEAS WITHDRAWAL OF ATTORNEY RECEIVED,66759
WOPP,I,EXTENSION OF TIME TO OPPOSE FILED,43
WRDA,*,WITHDRAWAL OF REFUSAL DURING APPEAL,1
WRDA,F,WITHDRAWAL OF REFUSAL DURING APPEAL,1
